Access Point,MAC Address,Vendor,Signal Strength,Encryption,Country Id,Mode,Frequency,Width,Band,Bitrates,Info,Adapter,,,,,,,,,,,,,,,,,,,,,,,
eduroam,1c:28:af:65:d3:70,,n/a,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 108 [5.540 GHz] + Ch 112,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;7 Stations;en0,,,,,,,,
Honor 7X,6c:b7:49:e9:c9:a9,,n/a,WPA2 PSK [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,72,,,11,9,7,6,5.5,2, 1 Mbps;1 Stations;en0,,,,,,,,,,,,,,,,
TUD-facility,1c:28:af:62:01:c2,,-58 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,d0:4d:c6:f2:ec:92,,-63 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 104 [5.520 GHz] + Ch 100,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,1c:28:af:5c:09:72,,-69 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 52 [5.260 GHz] + Ch 56,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,1c:28:af:62:01:d2,,-66 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 36 [5.180 GHz] + Ch 40,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,d0:4d:c6:f2:c8:72,,-86 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 48 [5.240 GHz] + Ch 44,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,d0:4d:c6:f2:61:22,,-67 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 6 [2.437 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,1c:28:af:61:e6:b2,,-88 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 40 [5.200 GHz] + Ch 36,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,
TUD-facility,d0:4d:c6:f2:ec:82,,-57 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 6 [2.437 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations, 1 Stations;en0,,,,,,,
