接入点,MAC地址,供应商,信号强度,历史信号强度,数据加密,国家识别码 ,模式,频率,波段,首次检测到,上次检测到,比特率,型号,适配器,Note,Suggested Channel,状态,Width,Quality,Specification,Station Count,Name,Streams
eduroam,1C:28:AF:66:03:A0,"Aruba, a Hewlett Packard Enterprise Company",-84 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 6 [2.437 GHz],2.4 GHz,0.60318287,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 44% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,33,802.11ax,0,,4x4,
eduroam,1C:28:AF:65:EA:50,"Aruba, a Hewlett Packard Enterprise Company",-85 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 100 [5.500 GHz] + Ch 104,5.0 GHz,0.603113426,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","38 Stations, 52% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,30,802.11ax,38,,4x4,
eduroam,1C:28:AF:65:EA:40,"Aruba, a Hewlett Packard Enterprise Company",-85 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 11 [2.462 GHz],2.4 GHz,0.612858796,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","3 Stations, 28% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,30,802.11ax,3,,4x4,
eduroam,1C:28:AF:65:F5:E0,"Aruba, a Hewlett Packard Enterprise Company",-86 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 11 [2.462 GHz],2.4 GHz,0.611215278,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","2 Stations, 45% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,27,802.11ax,2,,4x4,
eduroam,D0:4D:C6:F2:4D:10,"Aruba, a Hewlett Packard Enterprise Company",-87 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,5.0 GHz,0.603113426,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","2 Stations, 19% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,24,802.11ax,2,,4x4,
eduroam,1C:28:AF:65:F9:E0,"Aruba, a Hewlett Packard Enterprise Company",-87 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 11 [2.462 GHz],2.4 GHz,0.61369213,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 27% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,24,802.11ax,0,,4x4,
eduroam,1C:28:AF:65:F9:F0,"Aruba, a Hewlett Packard Enterprise Company",-88 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 112 [5.560 GHz] + Ch 108,5.0 GHz,0.603113426,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","11 Stations, 5% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,21,802.11ax,11,,4x4,
eduroam,1C:28:AF:65:F8:50,"Aruba, a Hewlett Packard Enterprise Company",-88 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 136 [5.680 GHz] + Ch 132,5.0 GHz,0.603113426,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","21 Stations, 5% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,21,802.11ax,21,,4x4,
eduroam,D0:4D:C6:F2:8D:D0,"Aruba, a Hewlett Packard Enterprise Company",-89 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 52 [5.260 GHz] + Ch 56,5.0 GHz,0.603113426,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","6 Stations, 16% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,18,802.11ax,6,,4x4,
eduroam,D0:4D:C6:F2:8D:E0,"Aruba, a Hewlett Packard Enterprise Company",-90 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 11 [2.462 GHz],2.4 GHz,0.613333333,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 14% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,15,802.11ax,0,,4x4,
eduroam,1C:28:AF:65:F8:40,"Aruba, a Hewlett Packard Enterprise Company",-91 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 6 [2.437 GHz],2.4 GHz,0.60318287,当前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 41% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,12,802.11ax,0,,4x4,
eduroam,D0:4D:C6:F2:8E:90,"Aruba, a Hewlett Packard Enterprise Company",-95 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 48 [5.240 GHz] + Ch 44,5.0 GHz,0.603113426,0:00:05 以前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","23 Stations, 23% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,0,802.11ax,23,,4x4,
eduroam,D0:4D:C6:F3:14:50,"Aruba, a Hewlett Packard Enterprise Company",-95 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 136 [5.680 GHz] + Ch 132,5.0 GHz,0.603125,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","0 Stations, 3% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,0,802.11ax,0,,4x4,
eduroam,D0:4D:C6:F2:8D:F0,"Aruba, a Hewlett Packard Enterprise Company",-96 dBm,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 56 [5.280 GHz] + Ch 52,5.0 GHz,0.612627315,当前,"2402, 1801.5, 1560, 1201, 1170, 780, 600.5, 600, 540, 480, 450, 405, 390, 360, 300, 270, 240, 180, 150, 135, 120, 90, 60, 54, 48, 45, 36, 30, 24, 18, 15, 12 Mbps","7 Stations, 12% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,,,40 MHz,0,802.11ax,7,,4x4,
eduroam,D0:4D:C6:F2:8E:80,"Aruba, a Hewlett Packard Enterprise Company",,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 6 [2.437 GHz],2.4 GHz,0.612743056,0:00:56 以前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","0 Stations, 9% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,30,802.11ax,0,,4x4,
eduroam,D0:4D:C6:F2:DB:80,"Aruba, a Hewlett Packard Enterprise Company",,WPA2 Enterprise [CCMP],NL ,Infrastructure,Ch 6 [2.437 GHz],2.4 GHz,0.613043981,0:00:20 以前,"573.5, 430, 288.5, 286.5, 260, 231, 216.5, 195, 173.5, 173, 144.5, 143.5, 130, 115.5, 86.5, 72, 65, 57.5, 54, 48, 43.5, 43, 36, 29, 28.5, 24, 21.5, 18, 14.5, 12, 7 Mbps","1 Station, 15% Channel Utilization",WLAN 2 [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card],,13,,20 MHz,15,802.11ax,1,,4x4,
