Access Point,MAC Address,Vendor,Signal Strength,Encryption,Country Id,Mode,Frequency,Width,Band,Bitrates,Info,Adapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECT-QPDESKTOP-2LM1S1BmsHX,16:f6:d8:d4:aa:b2,,-89 dBm,WPA2 PSK [CCMP],,Infrastructure & WPS,Ch 149 [5.745 GHz],20 MHz,5.0 GHz,866.5,,,45,36,30,24,18,15,12,9, 6 Mbps;Microsoft, HP ZBook Studio x360 G5, 10.0.22621, DESKTOP-2LM1S1B;en0,,,,,,,,,,,,,,,,,
eduroam,1c:28:af:5c:09:70,,-78 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 52 [5.260 GHz] + Ch 56,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;9 Stations, 8 Stations, 10 Stations;en0,,,,,,,,,,,,
eduroam,d0:4d:c6:f2:a2:b0,,-84 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 64 [5.320 GHz] + Ch 60,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;1 Stations, 0 Stations, 2 Stations;en0,,,,,,,,,,,,
eduroam,d0:4d:c6:f3:14:d0,,-85 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 132 [5.660 GHz] + Ch 136,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;12 Stations, 13 Stations;en0,,,,,,,,,,,,,
eduroam,d0:4d:c6:f2:f2:90,,-88 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;34 Stations, 35 Stations, 33 Stations;en0,,,,,,,,,,,,
eduroam,d0:4d:c6:f2:ec:90,,-81 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 104 [5.520 GHz] + Ch 100,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;16 Stations, 18 Stations, 17 Stations;en0,,,,,,,,,,,,
eduroam,1c:28:af:5b:ee:d0,,-87 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 132 [5.660 GHz] + Ch 136,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;9 Stations, 8 Stations;en0,,,,,,,,,,,,,
eduroam,d0:4d:c6:f2:a9:90,,-91 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 132 [5.660 GHz] + Ch 136,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;14 Stations, 15 Stations, 16 Stations;en0,,,,,,,,,,,,
eduroam,1c:28:af:5b:db:f0,,-90 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 44 [5.220 GHz] + Ch 48,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;8 Stations;en0,,,,,,,,,,,,,,
eduroam,1c:28:af:66:2a:b0,,-66 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 149 [5.745 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;5 Stations, 4 Stations, 3 Stations, 2 Stations, 0 Stations;en0,,,,,,
eduroam,d0:4d:c6:f2:60:b0,,n/a,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;35 Stations, 34 Stations, 33 Stations;en0,,,,,,,,,,,,
eduroam,d0:4d:c6:f2:f4:b0,,-87 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;3 Stations, 5 Stations;en0,,,,,,,,,,,,,
eduroam,d0:4d:c6:f2:f4:b0,,n/a,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 60 [5.300 GHz] + Ch 64,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;3 Stations;en0,,,,,,,,,,,,,,
eduroam,d0:4d:c6:f2:a9:80,,-76 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 6 [2.437 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
eduroam,d0:4d:c6:f2:a9:80,,n/a,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 6 [2.437 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
eduroam,d0:4d:c6:f2:9f:10,,-92 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 40 [5.200 GHz] + Ch 36,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;3 Stations;en0,,,,,,,,,,,,,,
eduroam,1c:28:af:62:01:d0,,-91 dBm,WPA2 Enterprise [CCMP],NL,Infrastructure,Ch 36 [5.180 GHz] + Ch 40,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;50 Stations;en0,,,,,,,,,,,,,,
Husky-IF-if-0000513,00:1e:42:4c:89:fc,,-68 dBm,WPA2 PSK [CCMP],0,Infrastructure,Ch 6 [2.437 GHz],20 MHz,2.4 GHz,144.5,,,21.5,18,14.5,12,11,9,7,6,5.5,2, 1 Mbps;0 Stations;en0,,,,,,,,,,,,,,,,,,
Kyuphone,d2:f9:ac:ca:4c:eb,,n/a,WPA2 PSK [CCMP],,,,,,,,,54,48,45,36,30,24,18,15,12,9, 6 Mbps;0 Stations;en0,,,,,,,,,,,,,,,,,,
TUD-facility,1c:28:af:66:28:12,,-62 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 153 [5.765 GHz],20 MHz,5.0 GHz,1560,,,115.5,87,86.5,72,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,
TUD-facility,1c:28:af:65:fe:02,,-65 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 6 [2.437 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:66:2a:a2,,-55 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 11 [2.462 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,d0:4d:c6:f2:71:12,,-80 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 36 [5.180 GHz] + Ch 40,40 MHz,5.0 GHz,1560,,,180,150,135,120,90,60,54,48,45,36,30,24,18,15, 12 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:66:75:62,,-67 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 11 [2.462 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:66:50:02,,-63 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 11 [2.462 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:66:28:02,,-63 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 11 [2.462 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
TUD-facility,1c:28:af:66:11:c2,,-64 dBm,WPA2 PSK [CCMP],NL,Infrastructure,Ch 1 [2.412 GHz],20 MHz,2.4 GHz,289,,,65,58,57.5,54,48,43.5,43,36,29,24,21.5,18,14.5,12, 7 Mbps;0 Stations;en0,,,,,,,,,,,,,,
